"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R490","2019-07-28 00:00:00","49.000","31.000","1.600","26.400","0.870","1002.100","-99.000","2.500","-99.000","-99.000","-99.000","31.600","","25.600",""
"C0B010","2019-07-28 00:00:00","38.000","111.000","2.400","27.600","0.870","1001.100","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","26.200",""
"C0X230","2019-07-28 00:00:00","29.000","139.000","1.500","26.000","0.930","1005.700","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","26.000",""
"C0S770","2019-07-28 00:00:00","375.000","315.000","2.000","22.600","0.930","967.700","-99.000","4.500","-99.000","-99.000","-99.000","31.100","","22.600",""
"C0H890","2019-07-28 00:00:00","440.000","216.000","0.300","23.100","0.980","958.500","-99.000","32.000","-99.000","-99.000","-99.000","32.100","","22.200",""
"C0K480","2019-07-28 00:00:00","56.000","147.000","0.900","26.000","0.870","1000.700","-99.000","3.000","-99.000","-99.000","-99.000","33.000","","26.000",""
"C0R540","2019-07-28 00:00:00","17.000","107.000","0.900","27.900","0.830","1005.700","-99.000","3.000","-99.000","-99.000","-99.000","32.100","","26.400",""
"C0F0A0","2019-07-28 00:00:00","3587.000","217.000","3.000","6.700","0.870","664.900","-99.000","1.000","-99.000","-99.000","-99.000","11.600","","4.500",""
"C0AH40","2019-07-28 00:00:00","426.000","65.000","1.300","26.200","0.890","960.800","-99.000","13.500","-99.000","-99.000","-99.000","31.900","","24.900",""
"C0T9A0","2019-07-28 00:00:00","498.000","147.000","1.600","22.200","0.990","955.100","-99.000","7.500","-99.000","-99.000","-99.000","30.400","","22.200",""
"C0K390","2019-07-28 00:00:00","31.000","187.000","1.200","26.400","0.860","1003.900","-99.000","1.000","-99.000","-99.000","-99.000","32.400","","26.200",""
"C0I540","2019-07-28 00:00:00","3344.000","121.000","4.500","7.900","0.990","684.200","-99.000","-99.000","-99.000","-99.000","-99.000","16.200","","7.600",""
"C0G890","2019-07-28 00:00:00","24.000","134.000","1.300","26.500","1.000","1004.000","-99.000","3.500","-99.000","-99.000","-99.000","33.100","","25.300",""
"C0G720","2019-07-28 00:00:00","50.000","141.000","1.400","25.600","0.990","1001.000","-99.000","5.000","-99.000","-99.000","-99.000","33.100","","25.600",""
"C0UA40","2019-07-28 00:00:00","1121.000","202.000","3.800","20.700","0.960","887.800","-99.000","1.000","-99.000","-99.000","-99.000","27.400","","20.100",""
"C0V400","2019-07-28 00:00:00","56.000","58.000","1.500","26.000","0.950","1000.900","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","26.000",""
"C0X130","2019-07-28 00:00:00","27.000","158.000","1.100","26.000","0.950","1004.600","-99.000","1.000","-99.000","-99.000","-99.000","33.300","","26.000",""
"C0A520","2019-07-28 00:00:00","48.000","0.000","0.100","26.300","0.930","1002.800","-99.000","0.000","-99.000","-99.000","-99.000","35.200","","25.900",""
"C0U870","2019-07-28 00:00:00","474.000","0.000","0.000","23.800","0.940","956.800","-99.000","0.000","-99.000","-99.000","-99.000","30.000","","23.500",""
"C0S690","2019-07-28 00:00:00","522.000","305.000","1.100","21.500","0.920","951.600","-99.000","17.500","-99.000","-99.000","-99.000","34.500","","21.500",""
"C0R150","2019-07-28 00:00:00","105.000","110.000","1.500","26.000","0.990","995.300","-99.000","41.000","-99.000","-99.000","-99.000","32.200","","24.600",""
"C0K560","2019-07-28 00:00:00","117.000","145.000","0.300","24.100","0.930","994.900","-99.000","11.000","-99.000","-99.000","-99.000","33.700","","23.800",""
"C0X100","2019-07-28 00:00:00","10.000","112.000","1.700","28.800","0.830","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","28.300",""
"C0K460","2019-07-28 00:00:00","60.000","137.000","1.000","26.000","0.880","999.700","-99.000","2.000","-99.000","-99.000","-99.000","32.600","","25.700",""
"C0M740","2019-07-28 00:00:00","15.000","151.000","1.500","26.300","0.910","1005.000","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.300",""
